Serviciu online:,Descriere:,Gestionat de catre:,Acceseaza:,Contact institutie responsabila (e-mail):,Latitudine-Nord,Longitudine-Est,
E-Visa,Prin intermediul serviciului strainii au posibilitatea de a se informa asupra procesului de solicitare/acordare a vizelor si a taxelor aferente emiterii vizei de a completa dosarul de viza de a-l transmite în format electronic,Ministerul afacerilor Externe,http://evisa.mae.ro/ro_home,opinia_ta@mae.ro,44.4574936,26.0872721,
Ghiduri de călătorie în străinatate,Sfaturi de calatorie,Ministerul Afacerilor Externe,http://www.mae.ro/node/1552,relatii_cu_publicul@mae.ro,44.4574936,26.0872721,
Înregistrarea unui autovehicol,Programare on line pentru eliberarea cartii de identitate a vehicolului,Registrul auto Roman,http://pro.rarom.ro/programari.asp,office@rarom.ro,44.468488,26.051998,
Accesarea diferitelor servicii locale online,Punct de contact unic Electronic,Autoritatea pentru Digitalizarea Romaniei,https://edirect.e-guvernare.ro,contact@adr.gov.ro,44.438463,26.1046483,
Naștere Căsătorie Deces Divorț,Informatii despre procedurile obtinerii actelor de stare civila,Ministerul Afacerilor Interne,http://www.mai.gov.ro,depabd@mai.gov.ro,44.4385664,26.096501,
Accesul la asigurarea de sănătate,Gestionarea fondului naţional unic de asigurări sociale de sănătate,Casa Nationala de Asigurari de Sanatate,http://siui.casan.ro/cnas/servicii_online,relpubl1@casan.ro,44.4314263,26.1336896,
Programarea la policlinică,Programarea unui consult medical,Spitalul Universitar de Urgenta Militar Central ”Dr. Carol Davila”,http://www.scumc.ro/despre-noi/contact-suumc/,ambulator.integrat@scumc.ro,44.4422991,26.0707641,
Accesul la educație,Sistem Educațional Informatizat,Ministerul Educatiei Nationale,http://portal.edu.ro,registratura@edu.gov.ro,44.441961,26.089201,
Sprijin pentru cercetători,Ofera informatii si asistenta pentru mobilitatea cercetatorilor,Unitatea Executiva pentru Finanțarea Învățământului Superior,https://www.euraxess.gov.ro/,georgeta.ciripoiu@uefiscdi.ro,44.4444547,26.096521,
Votarea,Registrul Electoral,AUTORITATEA ELECTORALĂ PERMANENTĂ,https://www.registrulelectoral.ro,relatii.publice@roaep.ro,44.431712,26.099305,
Observator teritorial,Informatii statistice diverse reprezentate grafic pe harta,Ministerul Lucrarilor Publice Dezvoltarii si Adminstratiei,https://ot.mdrap.ro/atlas/creare_harta/,info@mdrap.ro,44.4295764,26.0905174,
Sistemul Informatic Integrat de Mediu,Monitorizarea in timp real a indicatorilor de mediu,Agenția Națională pentru Protecția Mediului,https://raportare.anpm.ro/irj/portal/public,office@anpm.ro,44.44655,26.044994,
Informații despre datele deschise furnizate de către administrația publică,Punctul central de acces pentru seturile de date deschise livrate de autoritățile și instituțiile administrației publice,Secretariatul General al Guvernului,https://data.gov.ro/,contact@sgg.ro,44.452962,26.087393,
Protectia consumatorilor,Consumatorii pot completa formularul online de reclamație,Agenția Națională pentru Protecția Consumatorilor,https://anpc.ro/,cabinet@anpc.ro,44.46525,26.086889
